 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: todos, exceto Covid
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"230470 Granja";661;320239,09;1345;-
"230480 Granjeiro";30;9296,55;86;1
"230490 Groaíras";26;9743,11;122;-
"230495 Guaiúba";18;10422,33;139;2
"230500 Guaraciaba do Norte";282;143496,36;739;-
"230510 Guaramiranga";6;2018,42;48;-
"230520 Hidrolândia";277;145468,86;821;11
"230523 Horizonte";1156;595364,26;2477;11
"230526 Ibaretama";34;12538,54;183;2
"230530 Ibiapina";265;109147,68;847;7
"230540 Icó";1905;1248741,07;4784;62
"230550 Iguatu";2788;1454762,83;8525;139
"230560 Independência";160;74574,87;714;6
"230565 Ipaporanga";139;50634,51;386;-
"230570 Ipaumirim";6;2181,41;21;-
"230580 Ipu";1148;474239,09;2550;12
"230590 Ipueiras";188;73481,47;391;6
"230600 Iracema";187;71522,28;638;7
"230610 Irauçuba";157;59465,50;379;2
"230620 Itaiçaba";7;3101,08;48;1
"230625 Itaitinga";99;43408,60;696;14
"230630 Itapagé";434;213658,69;838;3
"230640 Itapipoca";6409;3561240,72;22760;183
"230650 Itapiúna";84;27368,92;430;6
"230655 Itarema";405;164441,68;1391;5
"230670 Jaguaretama";145;63036,74;575;4
"230680 Jaguaribara";106;45437,70;398;7
"230690 Jaguaribe";663;327230,36;2100;10
"230700 Jaguaruana";155;53360,18;533;17
"230710 Jardim";233;108688,39;1079;12
"230720 Jati";12;5212,88;50;2
"230725 Jijoca de Jericoacoara";72;31923,88;154;-
"230730 Juazeiro do Norte";10442;13754108,87;62292;1029
"230740 Jucás";275;131835,65;1189;9
"230750 Lavras da Mangabeira";714;219921,06;1524;-
"230760 Limoeiro do Norte";4017;1364466,61;10181;130
"230763 Madalena";90;32741,43;221;1
"230765 Maracanaú";11663;6656462,46;25922;146
"230770 Maranguape";1189;458780,98;3238;75
"230780 Marco";213;94820,85;602;1
"230800 Massapê";168;71434,98;493;-
"230810 Mauriti";479;175908,64;1634;32
"230820 Meruoca";58;26170,67;258;1
"230830 Milagres";181;83514,24;449;2
"230835 Milhã";80;37948,72;238;5
"230840 Missão Velha";542;158581,69;1728;14
"230850 Mombaça";670;292308,09;2384;30
"230860 Monsenhor Tabosa";63;30512,40;155;-
"230870 Morada Nova";1299;591980,41;2808;36
"230880 Moraújo";41;14071,90;207;-
"230890 Morrinhos";78;34270,69;282;3
"230900 Mucambo";528;217331,11;1409;12
"230910 Mulungu";14;6077,41;82;-
"230920 Nova Olinda";77;30557,55;436;-
"230930 Nova Russas";379;141157,76;952;13
"230940 Novo Oriente";267;97104,80;686;9
"230945 Ocara";102;38313,53;416;6
"230950 Orós";321;161580,75;926;24
"230960 Pacajus";195;79515,42;994;16
"230970 Pacatuba";172;68609,20;1002;28
"230980 Pacoti";69;22579,55;334;2
"231010 Palmácia";54;24340,71;198;2
"231020 Paracuru";428;221966,94;1107;10
"231025 Paraipaba";206;80026,11;668;6
"231030 Parambu";496;195125,49;1599;4
"231050 Pedra Branca";638;262391,21;1766;31
"231060 Penaforte";22;7267,16;58;2
"231070 Pentecoste";416;190278,98;1716;19
"231080 Pereiro";163;80784,65;479;6
"231085 Pindoretama";92;44624,62;435;10
"231090 Piquet Carneiro";242;96589,27;819;2
"231100 Poranga";44;19200,03;56;-
"231110 Porteiras";113;42549,06;454;8
"231130 Quixadá";3596;2556502,78;13868;67
"231135 Quixelô";162;70319,89;673;5
"231140 Quixeramobim";6665;6264064,12;36157;387
"231150 Quixeré";79;29393,80;332;5
"231160 Redenção";869;374991,90;2171;23
"231170 Reriutaba";114;49318,84;271;2
"231180 Russas";3491;1559642,01;10330;85
"231190 Saboeiro";28;11466,01;97;-
"231195 Salitre";51;20274,04;205;1
"231220 Santa Quitéria";457;205315,85;1245;10
"231200 Santana do Acaraú";217;91591,66;802;-
"231210 Santana do Cariri";97;36058,22;370;2
"231230 São Benedito";490;208132,72;1371;3
"231240 São Gonçalo do Amarante";739;350036,55;1962;23
"231270 Senador Pompeu";267;80796,80;888;20
"231290 Sobral";25717;49501001,43;160476;1970
"231300 Solonópole";234;75336,21;737;20
"231310 Tabuleiro do Norte";254;97625,41;1487;11
"231320 Tamboril";274;119752,91;935;12
"231325 Tarrafas";38;14465,61;275;4
"231330 Tauá";5923;1964583,57;11774;98
"231335 Tejuçuoca";71;33146,34;266;-
"231340 Tianguá";4408;2161244,36;15701;120
"231350 Trairi";147;57221,92;396;1
"231355 Tururu";18;6817,70;51;-
"231360 Ubajara";806;225829,83;1195;4
"231370 Umari";9;3103,18;27;-
"231375 Umirim";43;18995,32;154;1
"231380 Uruburetama";24;8824,63;108;-
"231390 Uruoca";27;11207,37;82;-
"231395 Varjota";123;53474,71;544;3
"231400 Várzea Alegre";1991;749884,38;3952;51
"231410 Viçosa do Ceará";1128;525429,60;3327;13
"240020 Açu";346;178703,78;1701;24
"240050 Alexandria";1841;949217,39;3587;10
"240060 Almino Afonso";71;27280,39;263;1
"240080 Angicos";58;23751,88;279;1
"240090 Antônio Martins";156;56518,63;418;-
"240100 Apodi";596;302765,04;2080;26
"240110 Areia Branca";83;38766,68;319;7
"240120 Arês";7;3612,96;26;-
"240145 Baraúna";28;10522,18;98;-
"240180 Brejinho";30;12281,05;134;6
"240200 Caicó";2917;1544626,98;10102;238
"240230 Caraúbas";315;183009,52;663;2
"240240 Carnaúba dos Dantas";12;6098,42;33;1
"240250 Carnaubais";23;10610,41;138;1
"240260 Ceará-Mirim";2386;1135113,85;5204;62
"240270 Cerro Corá";23;8430,66;139;-
"240280 Coronel Ezequiel";7;1381,50;12;-
"240310 Currais Novos";2251;1600512,79;8366;177
"240320 Doutor Severiano";11;3513,92;65;-
"240330 Encanto";14;3960,41;49;-
"240360 Extremoz";69;26625,70;495;13
"240370 Felipe Guerra";28;10799,75;89;2
"240400 Frutuoso Gomes";96;42800,82;264;-
"240420 Goianinha";57;22018,14;382;8
"240450 Guamaré";425;230261,09;1727;14
"240490 Itaú";17;5662,83;63;-
"240520 Janduís";24;9485,94;98;2
"240530 Januário Cicco";8;2919,73;21;-
"240560 Jardim de Piranhas";38;11159,88;152;1
"240570 Jardim do Seridó";178;88171,13;393;8
"240580 João Câmara";263;131424,50;1910;50
"240600 José da Penha";8;1702,43;53;-
"240610 Jucurutu";183;101522,00;471;5
"240620 Lagoa d'Anta";7;3337,92;28;-
"240650 Lagoa Nova";23;11017,19;93;-
"240670 Lajes";112;40070,73;498;16
"240690 Lucrécia";74;23388,58;148;-
"240710 Macaíba";1789;1046475,86;6390;10
"240720 Macau";235;104868,44;1086;10
"240725 Major Sales";20;7068,15;83;1
"240740 Martins";69;16741,21;261;1
"240760 Messias Targino";17;5073,21;69;2
"240780 Monte Alegre";11;6276,32;94;-
"240800 Mossoró";17131;31374470,80;87539;943
"240810 Natal";60459;127675453,83;409123;2424
"240830 Nova Cruz";109;56902,04;604;21
"240890 Parelhas";319;151921,36;759;11
"240325 Parnamirim";5244;6198874,17;29000;128
"240930 Patu";75;34496,61;249;1
"240940 Pau dos Ferros";2834;2298463,60;9595;166
"240980 Pedro Velho";8;3436,88;20;-
"240990 Pendências";34;13205,77;130;4
"241000 Pilões";11;3935,16;47;-
"241020 Portalegre";240;111220,67;554;-
"241060 Rafael Godeiro";118;56145,05;274;2
"241070 Riacho da Cruz";26;9136,82;79;-
"241120 Santa Cruz";3207;1745684,29;11039;22
"241140 Santana do Matos";49;26706,50;381;3
"241142 Santana do Seridó";10;3246,23;49;-
"241150 Santo Antônio";742;357282,30;3246;65
"241200 São Gonçalo do Amarante";1709;870052,99;7451;29
"241220 São José de Mipibu";3522;1982333,71;9116;-
"241230 São José do Campestre";39;15916,96;302;3
"241240 São José do Seridó";24;12157,47;67;2
"241250 São Miguel";46;16028,15;217;-
"241260 São Paulo do Potengi";249;154008,51;1505;45
"241280 São Rafael";57;29553,90;265;5
"241300 São Vicente";17;9589,50;81;2
"241030 Serra Caiada";26;11857,73;113;3
"241340 Serra Negra do Norte";38;15001,33;204;-
"241355 Serrinha dos Pintos";48;19034,41;182;-
"241360 Severiano Melo";14;4062,16;59;-
"241380 Taboleiro Grande";22;7977,33;64;1
"241400 Tangará";25;10115,19;268;4
"241410 Tenente Ananias";852;687246,03;2257;-
"241420 Tibau do Sul";15;6279,63;99;-
"241440 Touros";116;38404,24;554;3
"241460 Upanema";54;21914,81;329;1
"241490 Viçosa";7;784,07;12;-
"250010 Água Branca";80;29931,92;238;-
"250040 Alagoa Nova";108;43447,92;477;10
"250110 Areia";84;36185,86;406;11
"250130 Aroeiras";45;18961,38;221;6
"250150 Bananeiras";63;19417,62;240;4
"250180 Bayeux";550;277684,66;1572;-
"250190 Belém";108;59293,92;188;-
"250200 Belém do Brejo do Cruz";40;16994,49;182;3
"250230 Bom Sucesso";20;9029,21;105;2
"250240 Bonito de Santa Fé";40;22295,13;145;1
"250250 Boqueirão";101;40235,04;565;6
"250280 Brejo do Cruz";123;50909,21;577;9
"250290 Brejo dos Santos";640;215236,29;2231;-
"250320 Cabedelo";870;506338,11;3475;64
"250350 Cacimba de Dentro";19;8552,60;19;-
"250370 Cajazeiras";4475;3441988,44;20961;316
"250400 Campina Grande";26000;37308129,78;167883;1360
"250430 Catolé do Rocha";935;387052,86;1832;39
"250440 Conceição";115;43517,02;252;-
"250480 Coremas";243;92099,24;711;10
"250510 Cuité";226;117894,01;1179;24
"250600 Esperança";250;118655,32;1102;24
"250630 Guarabira";2453;1381907,02;7572;129
"250690 Itabaiana";937;467932,16;2175;3
"250700 Itaporanga";944;436318,83;2085;16
"250710 Itapororoca";13;4573,71;24;-
"250750 João Pessoa";43501;80434007,75;284794;2657
"250800 Juru";11;5172,50;24;-
"250830 Lagoa Seca";144;54773,65;528;9
"250890 Mamanguape";1993;1790731,34;7527;242
"250920 Massaranduba";20;9272,83;51;3
"250970 Monteiro";699;346946,42;1620;25
"251080 Patos";5768;4647663,68;26070;323
"251090 Paulista";53;21769,01;227;4
"251110 Pedra Lavrada";33;9711,95;141;-
"251120 Pedras de Fogo";126;42274,20;580;-
"251130 Piancó";371;203852,15;1380;44
"251140 Picuí";513;225332,75;1179;33
"251210 Pombal";1285;683691,24;4124;91
"251230 Princesa Isabel";552;297417,96;1398;8
"251250 Queimadas";790;399878,33;1471;29
"251340 Santa Luzia";239;111955,75;818;18
"251370 Santa Rita";4053;5256158,21;19756;285
"251390 São Bento";620;263172,60;1472;13
"250070 São João do Rio do Peixe";49;14871,22;183;-
"251450 São José de Piranhas";107;43168,21;355;9
"251490 São Mamede";104;55140,72;364;-
"251540 São Vicente do Seridó";60;18254,02;122;-
"251530 Sapé";293;124835,46;1233;31
"251550 Serra Branca";357;172234,78;986;17
"251600 Solânea";1120;450616,06;2912;34
"251610 Soledade";89;41448,29;347;12
"251620 Sousa";1259;842390,52;4296;62
"251630 Sumé";660;312148,56;1611;18
"251650 Taperoá";312;87192,26;1400;24
"251690 Uiraúna";1161;455917,80;3559;-
"260005 Abreu e Lima";541;244724,51;1249;-
"260010 Afogados da Ingazeira";4499;2051772,20;11530;86
"260020 Afrânio";256;108193,55;1091;18
"260030 Agrestina";429;328811,47;2044;18
"260040 Água Preta";555;398180,45;1260;2
"260050 Águas Belas";349;156991,41;1026;10
"260060 Alagoinha";51;21191,42;194;3
"260070 Aliança";38;12624,14;97;5
"260080 Altinho";71;23989,50;353;5
"260090 Amaraji";164;54447,75;434;3
"260100 Angelim";24;10014,13;62;1
"260110 Araripina";2813;1454778,15;9529;29
"260120 Arcoverde";4794;3439829,09;15505;236
"260130 Barra de Guabiraba";85;33058,14;368;3
"260140 Barreiros";1034;873544,31;3075;10
"260150 Belém de Maria";18;7287,65;45;1
"260160 Belém do São Francisco";117;44398,74;562;-
"260170 Belo Jardim";302;125272,16;1617;23
"260180 Betânia";53;9392,08;281;-
"260190 Bezerros";664;1900654,19;4207;56
"260200 Bodocó";137;53512,96;546;1
"260210 Bom Conselho";349;111071,46;1533;21
"260220 Bom Jardim";79;35809,06;323;8
"260230 Bonito";283;135139,20;668;11
"260240 Brejão";61;18523,52;210;-
"260250 Brejinho";22;8878,59;71;1
"260260 Brejo da Madre de Deus";78;31896,43;246;1
"260280 Buíque";890;298100,77;2117;2
"260290 Cabo de Santo Agostinho";7395;13720889,73;37542;610
"260300 Cabrobó";357;154455,01;1006;9
"260310 Cachoeirinha";181;53007,96;780;7
"260320 Caetés";236;84900,33;705;9
"260330 Calçado";31;12723,70;142;-
"260345 Camaragibe";1390;628108,52;3548;-
"260350 Camocim de São Félix";102;33986,05;409;2
"260360 Camutanga";16;5503,83;65;1
"260370 Canhotinho";251;104620,23;682;11
"260380 Capoeiras";167;52896,43;511;7
"260390 Carnaíba";199;89730,11;705;7
"260392 Carnaubeira da Penha";69;22777,50;251;-
"260400 Carpina";645;299364,55;3847;3
"260410 Caruaru";19432;17304006,84;102808;1059
"260415 Casinhas";51;24579,82;231;3
"260430 Cedro";42;15567,51;194;-
"260450 Chã Grande";156;69405,03;750;4
"260460 Condado";13;5153,19;31;-
"260470 Correntes";63;23964,35;266;-
"260480 Cortês";76;31636,24;278;1
"260490 Cumaru";43;19806,09;212;-
"260500 Cupira";159;58156,52;671;7
"260510 Custódia";98;40001,01;397;4
"260515 Dormentes";192;73466,67;1053;10
"260520 Escada";234;105816,19;610;2
"260530 Exu";152;63058,51;760;-
"260540 Feira Nova";128;28006,60;632;9
"260545 Fernando de Noronha";37;7821,58;72;1
"260560 Flores";88;39013,02;332;3
"260570 Floresta";529;235356,15;1113;-
"260580 Frei Miguelinho";38;11982,86;177;1
"260590 Gameleira";55;19832,92;155;1
"260600 Garanhuns";7664;5699592,77;25141;389
"260610 Glória do Goitá";70;28324,84;431;2
"260620 Goiana";1606;644399,90;4918;57
"260630 Granito";25;10312,76;140;-
"260640 Gravatá";371;164806,23;1704;37
"260650 Iati";68;29058,14;184;-
"260660 Ibimirim";226;98312,67;535;1
"260670 Ibirajuba";32;15350,46;160;2
"260680 Igarassu";83;960020,24;18762;4
"260690 Iguaracy";20;7316,20;72;1
"260700 Inajá";120;57510,69;194;-
"260710 Ingazeira";27;9687,94;81;-
"260720 Ipojuca";1156;588284,70;2254;-
"260730 Ipubi";103;39985,28;574;-
"260750 Itaíba";148;53316,50;680;5
"260765 Itambé";76;25265,79;330;2
"260770 Itapetim";146;79325,70;146;-
"260780 Itaquitinga";6;2517,81;18;-
"260790 Jaboatão dos Guararapes";12408;18936116,23;73070;476
"260795 Jaqueira";10;3522,09;29;1
"260800 Jataúba";163;69624,46;782;9
"260805 Jatobá";74;32604,71;374;7
"260810 João Alfredo";96;27268,82;418;8
"260825 Jucati";18;6391,27;83;-
"260830 Jupi";92;32731,02;259;-
"260840 Jurema";142;55393,98;456;1
"260850 Lagoa de Itaenga";74;37257,36;193;-
"260845 Lagoa do Carro";33;13527,12;495;-
"260860 Lagoa do Ouro";121;41802,74;422;1
"260870 Lagoa dos Gatos";15;6903,85;31;-
"260875 Lagoa Grande";206;84373,93;712;7
"260880 Lajedo";311;115919,74;1061;7
"260890 Limoeiro";1546;904639,33;4539;58
"260900 Macaparana";206;93104,02;629;-
"260910 Machados";16;5100,21;56;1
"260915 Manari";156;76922,54;469;2
"261430 Moreilândia";39;13097,57;160;1
"260940 Moreno";1517;1681050,86;8776;16
"260950 Nazaré da Mata";2559;1259074,84;6009;16
"260960 Olinda";4915;4809269,93;39267;200
"260970 Orobó";113;41511,93;640;9
"260980 Orocó";82;36808,54;230;-
"260990 Ouricuri";4941;2812190,23;17169;206
"261000 Palmares";5977;5402486,47;24784;292
"261010 Palmeirina";27;9115,99;96;-
"261020 Panelas";98;33323,34;526;3
"261030 Paranatama";150;54693,19;665;3
"261040 Parnamirim";116;45814,02;598;3
"261050 Passira";54;21377,49;274;9
"261060 Paudalho";300;159253,60;533;-
"261070 Paulista";8561;12928698,57;57377;666
"261080 Pedra";78;34078,36;257;-
"261090 Pesqueira";1180;550009,69;3330;37
"261100 Petrolândia";916;408653,94;2657;10
"261110 Petrolina";16773;16567950,55;87436;576
"261120 Poção";13;3830,07;45;-
"261130 Pombos";48;23570,66;101;-
"261150 Quipapá";47;16963,60;149;2
"261160 Recife";165624;320297017,75;961939;8862
"261170 Riacho das Almas";168;92892,31;273;5
"261180 Ribeirão";56;21368,43;108;1
"261200 Sairé";5;2008,78;17;-
"261220 Salgueiro";4973;4204465,51;16205;214
"261230 Saloá";94;29058,39;272;-
"261240 Sanharó";48;18364,53;172;1
"261245 Santa Cruz";189;79032,61;1544;4
"261247 Santa Cruz da Baixa Verde";39;11906,55;143;1
"261250 Santa Cruz do Capibaribe";316;132452,22;1077;12
"261255 Santa Filomena";63;19837,14;313;-
"261260 Santa Maria da Boa Vista";179;78551,91;642;3
"261280 Santa Terezinha";32;14806,44;143;2
"261290 São Benedito do Sul";4;1722,89;8;-
"261300 São Bento do Una";500;221673,47;1706;23
"261310 São Caitano";302;117005,41;1349;10
"261320 São João";180;77435,92;475;3
"261330 São Joaquim do Monte";57;18329,13;270;3
"261350 São José do Belmonte";412;194951,84;606;-
"261360 São José do Egito";421;214734,74;1039;18
"261370 São Lourenço da Mata";916;1589391,31;4094;54
"261380 São Vicente Ferrer";43;19682,14;99;4
"261390 Serra Talhada";5314;5980125,73;31475;223
"261400 Serrita";107;35641,34;521;-
"261410 Sertânia";263;107836,75;991;6
"261420 Sirinhaém";102;36507,10;382;4
"261440 Solidão";17;4895,10;67;-
"261450 Surubim";702;863130,06;11479;61
"261460 Tabira";107;40598,83;431;-
"261480 Tacaratu";46;22732,72;51;-
"261485 Tamandaré";55;23065,73;121;-
"261500 Taquaritinga do Norte";118;53653,19;439;11
"261510 Terezinha";61;23843,31;223;1
"261520 Terra Nova";46;17648,67;209;-
"261530 Timbaúba";297;438255,13;5989;6
"261540 Toritama";240;108774,75;586;16
"261560 Trindade";184;48597,29;739;-
"261570 Triunfo";70;22629,79;250;2
"261580 Tupanatinga";102;38551,10;340;2
"261590 Tuparetama";186;89831,24;465;9
"261600 Venturosa";167;68969,04;595;3
"261610 Verdejante";26;8484,93;95;-
"261620 Vertentes";442;214190,20;1246;5
"261630 Vicência";9;4138,17;18;1
"261640 Vitória de Santo Antão";3872;3119149,05;18040;92
"270010 Água Branca";108;46858,75;497;10
"270030 Arapiraca";16884;29929990,75;103188;965
"270040 Atalaia";162;83697,20;158;-
"270070 Batalha";530;238666,57;1042;-
"270100 Boca da Mata";43;19410,20;43;-
"270140 Campo Alegre";320;124157,79;1051;8
"270170 Capela";195;81737,94;471;-
"270210 Colônia Leopoldina";82;36974,80;61;-
"270230 Coruripe";5759;7270633,76;27656;148
"270235 Craíbas";58;25717,20;56;-
"270240 Delmiro Gouveia";655;277605,71;1905;32
"270280 Flexeiras";24;8620,62;96;-
"270300 Ibateguara";36;15962,40;34;-
"270380 Joaquim Gomes";144;58870,60;398;1
"270400 Junqueiro";198;81724,38;638;3
"270430 Maceió";50826;78120229,46;330434;2462
"270450 Maragogi";253;114394,20;253;-
"270470 Marechal Deodoro";94;41679,60;93;-
"270500 Mata Grande";50;25447,56;213;-
"270510 Matriz de Camaragibe";121;52411,54;212;2
"270550 Murici";257;64102,22;945;-
"270630 Palmeira dos Índios";3591;3165293,55;10540;113
"270640 Pão de Açúcar";869;328747,91;1039;12
"270660 Paulo Jacinto";8;2132,81;54;-
"270670 Penedo";1815;933958,27;5379;27
"270680 Piaçabuçu";28;12639,20;28;-
"270690 Pilar";750;441701,03;1897;4
"270710 Piranhas";290;138557,25;943;1
"270730 Porto Calvo";288;129303,47;765;7
"270760 Quebrangulo";42;14291,82;99;-
"270770 Rio Largo";483;253003,63;2679;51
"270800 Santana do Ipanema";5716;4037967,55;15820;148
"270830 São José da Laje";118;44314,79;375;-
"270840 São José da Tapera";169;72525,03;209;-
"270850 São Luís do Quitunde";224;93584,94;367;-
"270860 São Miguel dos Campos";2989;2612802,29;10322;84
"270915 Teotônio Vilela";499;217183,84;2087;9
"270920 Traipu";12;5320,80;16;-
"270930 União dos Palmares";2253;1425707,45;4672;11
"270940 Viçosa";313;127610,86;817;8
"280020 Aquidabã";1015;284500,18;2092;-
"280030 Aracaju";36908;63145792,31;253743;2229
"280130 Capela";751;263832,82;2195;23
"280210 Estância";4280;1945293,88;16058;231
"280290 Itabaiana";4761;2624859,20;15293;243
"280340 Japoatã";123;45699,15;246;-
"280350 Lagarto";3544;2741979,04;15072;196
"280450 Nossa Senhora da Glória";1150;498115,51;3765;63
"280480 Nossa Senhora do Socorro";2066;896306,29;7635;214
"280570 Propriá";2114;1102665,89;7259;119
"280590 Riachuelo";242;71556,98;739;16
"280670 São Cristóvão";309;118458,42;1646;60
"290020 Abaré";248;100549,12;873;11
"290040 Água Fria";107;43276,53;342;10
"290070 Alagoinhas";5432;3348760,28;25117;426
"290080 Alcobaça";416;182626,50;983;25
"290100 Amargosa";503;188483,35;2136;42
"290110 Amélia Rodrigues";116;51764,01;746;8
"290115 América Dourada";258;104991,93;892;8
"290120 Anagé";54;21829,08;263;-
"290130 Andaraí";217;87699,85;667;-
"290150 Anguera";59;26867,76;386;9
"290160 Antas";2675;1110814,21;5826;25
"290205 Araças";40;12705,84;152;3
"290200 Aracatu";127;61302,94;340;-
"290210 Araci";440;189150,44;1511;23
"290240 Aurelino Leal";509;277229,26;1350;7
"290250 Baianópolis";90;39657,16;245;-
"290260 Baixa Grande";336;118463,05;1029;18
"290270 Barra";2581;1060608,84;8088;58
"290280 Barra da Estiva";1416;587012,35;4175;58
"290290 Barra do Choça";651;272845,67;2139;41
"290300 Barra do Mendes";237;114009,08;811;4
"290320 Barreiras";9779;11837091,46;52776;595
"290323 Barro Alto";675;340392,23;1795;3
"290330 Barro Preto";11;4188,13;71;1
"290327 Barrocas";194;73185,07;727;13
"290340 Belmonte";447;256055,18;1686;16
"290350 Belo Campo";280;45087,63;1149;14
"290360 Biritinga";110;46697,25;391;1
"290380 Boa Vista do Tupim";154;69139,75;457;3
"290390 Bom Jesus da Lapa";2926;1263825,89;9517;73
"290395 Bom Jesus da Serra";258;102069,57;879;23
"290400 Boninal";126;50468,88;321;10
"290405 Bonito";172;75744,70;473;10
"290410 Boquira";576;254666,72;2309;32
"290420 Botuporã";110;42687,55;357;-
"290430 Brejões";133;54496,35;262;6
"290440 Brejolândia";128;63998,45;384;-
"290450 Brotas de Macaúbas";42;18200,24;84;-
"290460 Brumado";3343;2716952,65;12312;202
"290475 Buritirama";336;176327,95;1008;-
"290480 Caatiba";60;26997,16;195;-
"290490 Cachoeira";481;162932,25;1171;39
"290500 Caculé";590;300120,54;1481;28
"290510 Caém";527;216910,57;1581;12
"290520 Caetité";2012;927032,80;6362;46
"290530 Cafarnaum";426;211848,78;1249;6
"290550 Caldeirão Grande";525;314337,27;1300;7
"290560 Camacan";1284;511699,11;4119;94
"290570 Camaçari";4135;2563036,00;18902;155
"290590 Campo Alegre de Lourdes";1072;446555,07;2590;3
"290600 Campo Formoso";2085;1129186,10;6015;95
"290610 Canápolis";511;208939,40;900;4
"290620 Canarana";368;175664,50;1502;19
"290630 Canavieiras";401;210526,70;1876;33
"290640 Candeal";17;5271,20;73;4
"290650 Candeias";1759;2960575,37;9756;211
"290660 Candiba";456;254087,89;1102;16
"290670 Cândido Sales";375;162881,57;1126;23
"290680 Cansanção";646;286825,57;1693;34
"290682 Canudos";234;121540,19;755;9
"290685 Capela do Alto Alegre";14;4269,17;26;1
"290687 Capim Grosso";1212;540391,19;3291;20
"290690 Caravelas";505;206919,77;1262;32
"290710 Carinhanha";232;114505,10;604;12
"290720 Casa Nova";419;180375,93;1657;27
"290730 Castro Alves";656;257653,05;1561;26
"290750 Catu";2388;893131,53;4752;56
"290755 Caturama";38;13130,51;212;-
"290760 Central";326;159675,89;1135;17
"290780 Cícero Dantas";466;166059,59;2057;47
"290790 Cipó";240;100291,58;891;9
"290800 Coaraci";95;38525,41;337;6
"290810 Cocos";1052;621976,31;3199;-
"290830 Conceição do Almeida";152;65193,78;668;22
"290840 Conceição do Coité";3847;1581855,02;10430;96
"290850 Conceição do Jacuípe";267;84873,47;1237;27
"290860 Conde";89;34991,38;210;1
"290870 Condeúba";387;112432,91;1653;29
"290890 Coração de Maria";1140;458530,92;1692;1
"290900 Cordeiros";163;53801,37;668;14
"290910 Coribe";193;74787,14;445;6
"290930 Correntina";717;354755,25;2157;-
"290950 Cravolândia";161;93612,82;702;-
"290960 Crisópolis";198;76835,18;850;12
"290970 Cristópolis";1220;688384,82;3721;-
"290980 Cruz das Almas";1979;826185,58;3687;31
"290990 Curaçá";328;196780,96;969;1
"291005 Dias d'Ávila";681;282603,01;1340;5
"291010 Dom Basílio";123;44051,48;515;7
"291030 Elísio Medrado";85;32612,54;228;7
"291040 Encruzilhada";285;122725,07;1000;10
"291050 Entre Rios";415;141311,67;1741;16
"290050 Érico Cardoso";156;58536,25;396;2
"291060 Esplanada";970;438288,48;3132;48
"291070 Euclides da Cunha";2664;1117853,15;8264;83
"291072 Eunápolis";3078;2368012,40;11891;151
"291080 Feira de Santana";27030;38442844,88;160311;1284
"291085 Filadélfia";288;135844,46;606;13
"291110 Formosa do Rio Preto";1302;763434,73;4364;-
"291120 Gandu";696;274988,20;1385;34
"291130 Gentio do Ouro";177;80023,76;531;3
"291150 Gongogi";100;40822,35;286;2
"291170 Guanambi";5446;6071140,17;31562;268
"291180 Guaratinga";339;103045,57;840;14
"291200 Ibiassucê";460;164411,55;1076;17
"291210 Ibicaraí";170;72412,72;705;7
"291230 Ibicuí";114;43606,09;283;4
"291250 Ibipitanga";147;66920,88;544;10
"291270 Ibirapitanga";846;326422,95;2506;-
"291280 Ibirapuã";282;137307,18;1193;13
"291290 Ibirataia";778;266107,67;2226;20
"291300 Ibitiara";709;193297,72;1566;25
"291310 Ibititá";459;241447,53;965;-
"291320 Ibotirama";1988;951971,60;5448;39
"291340 Igaporã";273;141857,91;886;12
"291345 Igrapiúna";274;94218,70;934;-
"291350 Iguaí";1737;829432,92;4730;10
"291360 Ilhéus";11712;10508680,06;50106;819
"291370 Inhambupe";205;84497,67;529;17
"291380 Ipecaetá";55;22183,36;198;6
"291390 Ipiaú";2594;1288031,58;8785;125
"291400 Ipirá";283;148918,57;599;6
"291410 Ipupiara";65;26150,71;365;6
"291420 Irajuba";268;97670,78;909;6
"291430 Iramaia";837;354703,05;2424;-
"291440 Iraquara";2541;1291577,44;4913;6
"291450 Irará";323;121582,93;738;19
"291460 Irecê";5738;5733740,58;27910;421
"291465 Itabela";1000;399066,34;2149;35
"291470 Itaberaba";2118;1054278,15;7256;69
"291480 Itabuna";10829;16890551,69;53875;918
"291490 Itacaré";190;72185,29;410;-
"291500 Itaeté";183;67005,22;341;14
"291510 Itagi";90;38924,83;664;5
"291535 Itaguaçu da Bahia";139;58295,91;426;-
"291540 Itaju do Colônia";98;37661,46;209;-
"291550 Itajuípe";1261;827895,56;3807;-
"291560 Itamaraju";2319;1074399,19;6104;73
"291580 Itambé";831;277673,22;2004;30
"291600 Itanhém";750;399156,36;1655;41
"291610 Itaparica";950;422294,64;3227;56
"291630 Itapebi";100;35978,53;293;5
"291640 Itapetinga";2302;2126798,94;9628;211
"291650 Itapicuru";119;46222,58;269;6
"291660 Itapitanga";81;31721,46;340;4
"291670 Itaquara";260;112703,54;873;12
"291680 Itarantim";472;237037,92;1137;4
"291685 Itatim";144;51164,14;246;8
"291690 Itiruçu";1482;667101,87;3441;25
"291700 Itiúba";784;347449,16;2828;40
"291710 Itororó";1126;530699,44;3517;-
"291720 Ituaçu";243;112574,12;1140;27
"291730 Ituberá";312;135000,19;764;25
