 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"430510 Caxias do Sul";567;4911472,91;6061;146
"430520 Cerro Largo";24;38006,40;104;2
"430530 Chapada";15;23671,38;110;-
"430535 Charqueadas";109;173075,42;649;9
"430540 Chiapetta";6;9160,36;50;-
"430570 Condor";24;36336,00;94;-
"430580 Constantina";23;34901,15;71;-
"430590 Coronel Bicaco";10;15164,18;49;-
"430600 Crissiumal";9;13764,00;34;1
"430610 Cruz Alta";295;2234355,55;2288;98
"430620 Cruzeiro do Sul";21;32025,79;114;-
"430630 David Canabarro";55;82500,00;238;2
"430640 Dois Irmãos";37;60659,94;218;1
"430650 Dom Feliciano";15;23587,20;63;1
"430660 Dom Pedrito";113;308135,65;1009;25
"430680 Encantado";102;941575,82;716;27
"430690 Encruzilhada do Sul";17;27594,15;74;-
"430700 Erechim";289;1929127,76;2318;51
"430750 Espumoso";83;983299,21;708;21
"430760 Estância Velha";130;211569,74;552;14
"430770 Esteio";166;1284935,13;2108;55
"430780 Estrela";100;1228778,49;936;10
"430790 Farroupilha";184;1502557,86;1391;30
"430800 Faxinal do Soturno";3;22565,79;25;1
"430810 Feliz";29;43732,00;131;4
"430820 Flores da Cunha";47;75622,73;287;-
"430845 Fortaleza dos Valos";9;13572,00;41;-
"430850 Frederico Westphalen";40;155353,18;356;12
"430860 Garibaldi";128;1635890,95;1297;30
"430870 Gaurama";16;24605,78;83;-
"430890 Getúlio Vargas";49;76732,27;197;3
"430900 Giruá";49;79967,58;219;5
"430910 Gramado";184;1902667,69;1120;28
"430920 Gravataí";301;1055506,15;2492;66
"430940 Guaporé";67;113733,10;262;5
"430950 Guarani das Missões";20;30712,00;89;1
"430960 Horizontina";57;88840,73;231;4
"431000 Ibirubá";68;102900,06;271;6
"431010 Igrejinha";146;224263,62;782;16
"431020 Ijuí";131;577328,88;1042;25
"431030 Ilópolis";3;4524,00;7;-
"431060 Itaqui";46;76187,55;249;2
"431080 Ivoti";30;47332,30;174;1
"431085 Jaboticaba";4;6000,00;10;-
"431100 Jaguarão";14;22667,63;91;4
"431110 Jaguari";30;46032,60;124;6
"431120 Júlio de Castilhos";34;51744,12;106;-
"431130 Lagoa Vermelha";52;91455,66;494;5
"431140 Lajeado";122;895353,12;1082;29
"431180 Marau";146;227610,32;903;10
"431190 Marcelino Ramos";20;30136,00;82;-
"431205 Marques de Souza";65;99615,83;291;2
"431220 Maximiliano de Almeida";10;15360,00;49;-
"431240 Montenegro";160;704998,38;1366;22
"431250 Mostardas";17;25500,00;62;-
"431260 Muçum";31;56631,60;100;1
"431265 Não-Me-Toque";23;35864,27;62;-
"431270 Nonoai";63;95163,81;341;2
"431290 Nova Bassano";44;75117,29;249;1
"431300 Nova Bréscia";16;24612,66;124;-
"431320 Nova Petrópolis";21;32644,00;114;1
"431330 Nova Prata";85;143540,56;520;2
"431340 Novo Hamburgo";774;2647581,30;7728;170
"431350 Osório";224;3290830,47;2959;61
"431370 Palmeira das Missões";98;159411,89;464;6
"431380 Palmitinho";13;19796,24;89;1
"431390 Panambi";85;127532,06;347;8
"431400 Paraí";24;36960,36;130;1
"431405 Parobé";327;1477796,86;2564;96
"431410 Passo Fundo";1341;10979368,16;13019;271
"431420 Pedro Osório";15;22692,00;56;2
"431440 Pelotas";478;3765655,92;5909;178
"431460 Piratini";14;21868,54;86;-
"431470 Planalto";11;16724,00;44;-
"431480 Portão";81;125986,78;483;9
"431490 Porto Alegre";5342;45587139,02;67433;1204
"431500 Porto Lucena";3;4500,00;9;-
"431510 Porto Xavier";24;36384,00;104;-
"431515 Progresso";6;9012,70;27;-
"431535 Quinze de Novembro";9;13692,80;39;-
"431560 Rio Grande";754;3939049,33;6453;206
"431570 Rio Pardo";58;93594,39;526;10
"431575 Riozinho";7;10686,25;33;-
"431580 Roca Sales";25;38276,00;105;1
"431590 Rodeio Bonito";4;6120,00;19;-
"431600 Rolante";35;52777,76;182;3
"431610 Ronda Alta";59;88794,24;252;-
"431620 Rondinha";19;28601,86;69;1
"431640 Rosário do Sul";249;511267,10;1413;20
"431643 Saldanha Marinho";3;4644,00;29;-
"431645 Salto do Jacuí";6;9000,00;19;-
"431660 Sananduva";124;206876,12;600;6
"431710 Sant'Ana do Livramento";49;100306,04;336;5
"431670 Santa Bárbara do Sul";45;68164,40;230;3
"431680 Santa Cruz do Sul";128;1762995,74;1201;39
"431690 Santa Maria";485;5607496,78;5477;79
"431720 Santa Rosa";265;2882627,88;2244;66
"431730 Santa Vitória do Palmar";33;54138,69;145;2
"431740 Santiago";71;153661,35;545;4
"431750 Santo Ângelo";191;1666582,36;1445;43
"431760 Santo Antônio da Patrulha";162;248411,58;789;25
"431780 Santo Augusto";70;106813,26;430;-
"431790 Santo Cristo";17;26254,24;47;2
"431800 São Borja";217;453031,49;1426;27
"431810 São Francisco de Assis";25;38524,00;128;1
"431820 São Francisco de Paula";30;45000,00;149;1
"431830 São Gabriel";228;1195297,08;1934;34
"431840 São Jerônimo";161;958351,75;1680;38
"431843 São João do Polêsine";2;3493,67;10;-
"431850 São José do Norte";14;21756,30;78;-
"431860 São José do Ouro";65;106489,76;329;3
"431870 São Leopoldo";490;3049687,92;3958;181
"431880 São Lourenço do Sul";97;150362,73;526;20
"431890 São Luiz Gonzaga";97;155328,93;589;6
"431900 São Marcos";35;58008,97;202;1
"431910 São Martinho";2;3000,00;12;-
"431915 São Miguel das Missões";14;22603,26;119;-
"431930 São Paulo das Missões";1;1580,00;10;-
"431940 São Pedro do Sul";12;18521,04;58;1
"431950 São Sebastião do Caí";69;713539,35;702;21
"431960 São Sepé";47;73426,59;327;2
"431980 São Vicente do Sul";1;1500,00;2;-
"431990 Sapiranga";161;1490916,57;1412;54
"432000 Sapucaia do Sul";298;2376357,50;3778;76
"432010 Sarandi";64;103672,97;280;2
"432020 Seberi";13;19836,00;42;-
"432026 Segredo";2;3000,00;5;-
"432030 Selbach";12;18336,00;75;1
"432040 Serafina Corrêa";27;40888,06;74;1
"432050 Sertão";5;7556,00;16;-
"432060 Severiano de Almeida";10;15144,00;59;-
"432067 Sinimbu";1;1524,00;3;-
"432070 Sobradinho";27;44386,63;108;-
"432080 Soledade";95;907941,07;889;21
"432090 Tapejara";105;163895,19;640;5
"432100 Tapera";36;54952,00;138;-
"432120 Taquara";82;320488,20;594;28
"432130 Taquari";102;1079703,03;868;35
"432140 Tenente Portela";95;778018,88;787;14
"432145 Teutônia";120;184135,70;548;7
"432150 Torres";119;909673,93;1000;26
"432160 Tramandaí";190;1519871,75;1461;69
"432170 Três Coroas";85;138257,91;367;6
"432180 Três de Maio";35;82254,31;200;4
"432190 Três Passos";137;551050,78;717;27
"432195 Trindade do Sul";13;19656,06;56;-
"432200 Triunfo";52;81445,62;366;4
"432210 Tucunduva";9;13836,00;58;1
"432220 Tupanciretã";13;19683,07;44;-
"432230 Tuparendi";28;43012,24;113;1
"432240 Uruguaiana";80;441273,57;472;13
"432250 Vacaria";167;980544,45;1240;39
"432253 Vale do Sol";8;12389,02;73;-
"432260 Venâncio Aires";299;2470944,71;3027;47
"432270 Vera Cruz";16;24812,78;90;2
"432280 Veranópolis";81;135089,66;433;1
"432290 Viadutos";1;1524,00;3;-
"432300 Viamão";217;2297307,35;2467;92
"500020 Água Clara";1;1500,00;4;-
"500070 Anastácio";33;49523,99;143;3
"500080 Anaurilândia";1;1508,00;1;-
"500085 Angélica";7;10516,00;23;-
"500100 Aparecida do Taboado";16;24000,00;89;1
"500110 Aquidauana";165;400448,23;1265;45
"500150 Bandeirantes";4;6000,00;12;-
"500190 Bataguassu";23;34500,00;143;2
"500210 Bela Vista";1;1500,00;6;-
"500220 Bonito";15;22500,00;75;1
"500230 Brasilândia";8;12072,00;41;-
"500240 Caarapó";11;16524,00;36;-
"500270 Campo Grande";1840;10334755,14;17924;426
"500290 Cassilândia";41;61500,00;255;4
"500295 Chapadão do Sul";135;299770,95;858;6
"500320 Corumbá";405;2409694,70;3176;136
"500325 Costa Rica";57;586712,03;484;12
"500330 Coxim";98;291263,64;612;10
"500345 Deodápolis";1;1500,00;3;-
"500348 Dois Irmãos do Buriti";9;13517,00;25;1
"500370 Dourados";309;2541728,91;2816;83
"500380 Fátima do Sul";52;78381,12;335;5
"500400 Glória de Dourados";5;7524,00;15;-
"500410 Guia Lopes da Laguna";4;6016,00;9;-
"500430 Iguatemi";27;40500,00;124;-
"500440 Inocência";17;25500,00;75;-
"500450 Itaporã";7;10500,00;27;-
"500460 Itaquiraí";10;15000,00;50;1
"500470 Ivinhema";32;48677,09;184;1
"500500 Jardim";25;37500,00;81;-
"500515 Juti";8;12128,00;42;-
"500560 Miranda";3;4500,00;9;1
"500570 Naviraí";257;386966,37;1676;4
"500600 Nova Alvorada do Sul";1;1500,00;2;-
"500620 Nova Andradina";71;154936,47;570;18
"500630 Paranaíba";61;738154,01;674;19
"500635 Paranhos";5;7524,00;11;-
"500640 Pedro Gomes";1;1500,00;3;-
"500660 Ponta Porã";154;1302494,11;1148;32
"500690 Porto Murtinho";17;25548,00;51;-
"500730 Rio Negro";17;25500,00;84;-
"500740 Rio Verde de Mato Grosso";20;30064,00;109;-
"500769 São Gabriel do Oeste";141;213867,63;582;5
"500770 Sete Quedas";4;6000,00;14;-
"500790 Sidrolândia";89;202730,19;640;7
"500793 Sonora";14;21016,00;79;-
"500795 Tacuru";9;13500,00;29;-
"500797 Taquarussu";7;10500,00;20;-
"500830 Três Lagoas";169;1171815,32;1157;34
"500840 Vicentina";1;1500,00;3;-
"510020 Água Boa";173;261856,18;599;11
"510025 Alta Floresta";210;548572,70;1161;28
"510060 Alto Taquari";2;3000,00;9;-
"510125 Araputanga";1;1500,00;1;-
"510140 Aripuanã";8;12037,95;29;-
"510170 Barra do Bugres";1;1500,00;-;1
"510180 Barra do Garças";138;1660216,39;1004;87
"510190 Brasnorte";19;28773,65;114;-
"510250 Cáceres";453;1772055,61;3050;89
"510260 Campinápolis";18;27000,00;52;-
"510263 Campo Novo do Parecis";16;24104,00;40;-
"510267 Campo Verde";106;407170,82;757;10
"510268 Campos de Júlio";55;82500,00;295;-
"510270 Canarana";28;42000,00;86;-
"510305 Cláudia";31;46700,00;89;-
"510320 Colíder";72;115709,32;449;15
"510325 Colniza";4;6032,00;4;-
"510337 Cotriguaçu";5;7500,00;21;-
"510340 Cuiabá";1443;10652045,16;15173;425
"510350 Diamantino";1;1508,00;1;-
"510385 Gaúcha do Norte";1;1500,00;2;-
"510390 General Carneiro";20;30000,00;110;1
"510410 Guarantã do Norte";9;13500,00;6;-
"510420 Guiratinga";2;3000,00;3;1
"510460 Itiquira";6;9000,00;22;-
"510480 Jaciara";182;273111,00;635;11
"510510 Juara";62;100884,87;440;2
"510515 Juína";159;1266142,76;1243;28
"510517 Juruena";23;35032,79;115;1
"510525 Lucas do Rio Verde";136;227440,74;991;27
"510558 Marcelândia";57;87124,00;234;-
"510560 Matupá";18;27409,23;49;1
"510562 Mirassol d'Oeste";102;153600,20;575;9
"510590 Nobres";76;114104,80;209;2
"510610 Nossa Senhora do Livramento";22;33000,00;37;-
"510622 Nova Mutum";192;824502,12;1415;9
"510625 Nova Xavantina";56;84170,23;257;1
"510628 Novo São Joaquim";16;24000,00;67;-
"510629 Paranaíta";61;91511,00;249;-
"510630 Paranatinga";96;145929,55;251;6
"510637 Pedra Preta";46;69080,00;138;2
"510642 Peixoto de Azevedo";177;266790,57;869;8
"510650 Poconé";66;99000,00;386;13
"510675 Pontes e Lacerda";138;218873,61;657;23
"510680 Porto dos Gaúchos";19;29396,36;99;-
"510700 Poxoréo";62;93428,84;423;6
"510704 Primavera do Leste";40;670194,98;407;21
"510706 Querência";157;251877,42;666;1
"510760 Rondonópolis";1249;6395781,72;7661;307
"510730 São José do Rio Claro";22;33256,12;100;-
"510787 Sapezal";57;94500,67;303;1
"510790 Sinop";485;3532623,96;3863;184
"510792 Sorriso";178;394126,33;1110;30
"510794 Tabaporã";6;9000,00;7;-
"510795 Tangará da Serra";440;1441464,85;3188;72
"510800 Tapurah";22;33120,00;101;-
"510805 Terra Nova do Norte";29;43732,00;134;-
"510810 Tesouro";2;3000,00;7;-
"510820 Torixoréu";3;4540,00;5;-
"510840 Várzea Grande";2050;8882899,07;16408;417
"520013 Acreúna";28;42000,00;103;-
"520025 Águas Lindas de Goiás";307;461572,00;374;19
"520030 Alexânia";39;58500,00;120;1
"520050 Aloândia";7;10500,00;22;-
"520080 Alvorada do Norte";16;24000,00;62;2
"520110 Anápolis";484;2570240,59;4092;156
"520140 Aparecida de Goiânia";2401;11952890,78;17498;487
"520150 Aporé";2;3000,00;10;-
"520160 Araçu";10;15064,00;51;-
"520215 Araguapaz";6;9000,00;25;1
"520250 Aruanã";1;1500,00;2;-
"520320 Barro Alto";1;1500,00;3;-
"520330 Bela Vista de Goiás";74;111000,00;288;6
"520340 Bom Jardim de Goiás";2;3000,00;6;-
"520350 Bom Jesus de Goiás";53;79826,90;223;1
"520380 Britânia";14;21000,00;46;-
"520390 Buriti Alegre";1;1500,00;4;-
"520410 Cachoeira Alta";32;48000,00;113;2
"520425 Cachoeira Dourada";1;1500,00;8;-
"520430 Caçu";38;57024,00;130;-
"520440 Caiapônia";36;54000,00;67;-
"520470 Campinorte";6;9000,00;10;-
"520505 Castelândia";2;3000,00;2;-
"520510 Catalão";300;2456254,39;2125;64
"520520 Caturaí";7;10508,00;11;-
"520545 Cezarina";2;3000,00;5;-
"520547 Chapadão do Céu";29;43586,15;99;-
"520551 Cocalzinho de Goiás";10;15000,00;41;-
"520580 Corumbá de Goiás";4;6000,00;7;-
"520590 Corumbaíba";1;1636,41;6;-
"520620 Cristalina";43;64500,00;147;2
"520640 Crixás";29;43500,00;93;-
"520650 Cromínia";1;1516,00;2;-
"520670 Damianópolis";1;1500,00;3;-
"520680 Damolândia";17;25500,00;41;-
"520830 Divinópolis de Goiás";2;3000,00;7;-
"520740 Edéia";4;6000,00;24;-
"520780 Firminópolis";17;25500,00;87;-
"520800 Formosa";175;816567,03;921;46
"520860 Goianésia";58;88000,00;194;-
"520870 Goiânia";6276;31351994,40;44214;1386
"520880 Goianira";6;9000,00;16;4
"520890 Goiás";44;78051,32;265;6
"520910 Goiatuba";112;171915,91;231;3
"520970 Hidrolândia";82;123992,00;281;2
"520995 Indiara";3;4500,00;-;-
"521000 Inhumas";7;10548,00;11;-
"521010 Ipameri";11;16500,00;11;-
"521040 Itaberaí";86;129000,00;224;5
"521060 Itaguaru";4;6000,00;13;-
"521080 Itajá";2;3016,00;5;-
"521090 Itapaci";52;78484,13;250;3
"521120 Itapuranga";13;19500,00;54;1
"521130 Itarumã";4;6000,00;12;-
"521140 Itauçu";7;10500,00;44;3
"521150 Itumbiara";831;2408427,76;4488;171
"521180 Jaraguá";44;66491,63;337;20
"521190 Jataí";261;953773,46;1766;32
"521210 Joviânia";4;6000,00;7;-
"521220 Jussara";15;22572,00;45;-
"521250 Luziânia";435;2418302,05;4059;87
"521260 Mairipotaba";2;3000,00;6;-
"521270 Mambaí";2;3000,00;1;-
"521300 Maurilândia";1;1500,00;3;-
"521308 Minaçu";106;159048,00;311;11
"521310 Mineiros";55;176939,94;236;1
"521375 Montividiu";4;6040,00;9;1
"521380 Morrinhos";152;228216,48;770;1
"521400 Mozarlândia";22;33000,00;93;-
"521450 Nerópolis";214;1479929,18;2228;73
"521460 Niquelândia";84;128208,00;303;1
"521530 Orizona";31;46500,00;114;1
"521580 Palmelo";2;3000,00;4;-
"521630 Paranaiguara";37;56246,68;149;2
"521640 Paraúna";12;18000,00;34;-
"521710 Piracanjuba";25;39096,16;89;-
"521720 Piranhas";5;7501,00;18;1
"521730 Pirenópolis";24;36688,00;108;2
"521740 Pires do Rio";55;82996,00;193;4
"521760 Planaltina";106;160616,00;358;19
"521770 Pontalina";30;45000,00;23;-
"521800 Porangatu";340;2999839,81;2248;111
"521830 Posse";46;70192,00;165;6
"521850 Quirinópolis";197;325142,67;975;8
"521860 Rialma";48;72000,00;113;2
"521880 Rio Verde";745;3445206,59;5508;143
"521890 Rubiataba";16;24000,00;48;-
"521920 Santa Cruz de Goiás";1;1500,00;4;-
"521930 Santa Helena de Goiás";328;498500,83;1838;17
"521970 Santa Terezinha de Goiás";1;1500,00;7;-
"521975 Santo Antônio do Descoberto";52;78000,00;265;-
"522010 São Luís de Montes Belos";191;1526154,38;1572;43
"522020 São Miguel do Araguaia";23;34708,00;28;-
"522040 São Simão";59;95556,81;223;5
"522045 Senador Canedo";1;10595,68;23;1
"522068 Simolândia";4;6000,00;21;-
"522100 Taquaral de Goiás";1;1524,20;3;-
"522140 Trindade";374;1525441,14;2546;62
"522155 Turvelândia";17;25524,00;22;1
"522185 Valparaíso de Goiás";115;172500,00;286;1
"522200 Vianópolis";12;18000,00;42;-
"530010 Brasília";9371;37349289,31;83070;1469
"Total";462149;2248011968,44;3772852;98971
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
